dfcb gedaf dcfb bcfdea
dbfcge dacbe bge fgdbca
bega cga febac aebg
afed dfea de eabgc
egadb afdbe eaf af
gdbace fbgce gecfb bdfcge
dfabe edbfc cdebf gbcfea
bgd eabcfg bcdfega egafdcb
cdebgfa gecdfba dabcgef bfceag
egdbfca gcbdae gde gecdaf
ebg beg edabfc cbeda
abfcdge ed bdge ed
gabcef bfad gbecda degbca
fedagc bgdfc ab afbdg
bagdecf bgceda beadcg fecg
gabfdc gbcfda daegfb ed
ceagbf fbgdc cfged gecfd
fbc fgabdec ebcdf gcdef
dgbef gbfdeac fgbdace ed
efd fdbaec befcg ebcgfa
ec fdbcae fedag aecfd
agefdb adgcfb adceg cafb
fg egf egdcb gcaf
cagb acefgd gc cabg
dbcfa fea aedbcfg ae
fdcbe bdfgce cfbdg abefdgc
bgaecf acdgbe dg dag
fb agebfd dfacgeb cbgafd
bfadc adfeb fcabegd fcbda
ecfabd bg gdb bgaf
bagcefd gafcdb caefbgd dcefgab
caegf fcgd faegbd ecdgba
egdabc deabcg ebfcdga aeg
cfbage bgde dg aecgb
gaedb abdfce gbec gecb
ag ga adbfc faeg
cdbag ecgf edc dce
dfacg cgabfe ecf dfcga
ed feadbc dbeafc de
af bagfed eadbfc fdcae
gcdeba ecab bcae ebfdgc
cdfb dfa ceafg fgabed
ecbadgf ebcafg fgedc ebg
eafdbc bcef efgdac gfabd
cebfd fgbaed gfcadb bfdagce
agecd gcaebf beg fabcde
beacfg dcge dceg cgde
bfcegd fdacbeg bedcfg cfedag
fgdac fgadc bdgaec abfc
bfgced cedgbf cb cegfbd
bfecd gdab gbad debcf
cefad db aecdf bfcage
ced dbgfec gdebcf aebcf
afcgbd cfegba bagef fdcbea
fcdbge dg cdefg fcadbe
abegfc fecdb efag gbeafcd
fbceda edcbg edbacg befdca
gbd gbdefa cgfadeb becda
gdfa ebdacf abgce fg
dbfcg dgb fcgbd dbg
dcfbag gfca gbf fgcdbe
feacd bdgf gbdfae eafcd
fbgdce cbfga efgbcda eadc
af dabcfe cafdb cbaed
cbdgf febacdg cfdbg gedbfca
ebgdcf cdga bafdg afcbg
cdeb ecdga db geabf
gdef dcgbf daefcgb dbgcf
eag ga bgfa gfdeab
abfed gdea fbdae ebd
egdbca afgdb ae cdeagb
fcgbeda cebd dabfg cafebg
fecag daeb cad ebcdf
fc fc afce cf
dcaeb abcfed efacg gd
ace dgecb befcga cea
fdaegcb dceag edbgaf fadebc
dgab baegf agfced bgfae
cbe fcbade adcef ecb
agdec becd abd bd
dgaebcf acdfeg cedagf fdcgba
egd gbce abecd afbdecg
fadb fga dgeabf bafgec
bae cfdgae daceg bfced
bfdec dbecf abecfd cegbd
fdagec deafgc df adceb
bafdc fabdceg cebd eafcbd
fbgdac fadcgb cdfgba gfcbe
abgfce dacf fa bfegacd
eg gfedba efdcb gebafd
gcbdf fg bgdfc fgb
cgbed dafegb ac ac
fcgad cb afgcd bgdcf
fcb cgefba caedgbf gdacfe
baedc facgb acgfb ceafb
fegbc febag acgdbe fgdba
ea gfade feac fcae
cdag cagd dbcaf gfedb
edcfbg faced becadg cagdf
dbgecaf bfcda fgac bgdcaf
gafd cdbgaef eacdbgf fba
ce acbgd ecabdf afbced
ge gbaecf bfcdage cbgedaf
edfcg fcdge cegdbf gfaecdb
adbfeg ceagdb baefgdc gfead
def beagcfd deabg gecf
baced gabd becad egcfad
egcaf gbedc ba ecbgad
cfg fcbgdea fabdec fbceag
edafgb aegbdf egdcf bdga
cbage da ecfdb dceafb
cdegbf acbdg bcdag facd
fbgcd ed ed de
be bed eb eb
geabfc eda eacbdg bgecfa
ceg dacfgbe begfd dbcafe
bdfga gdcb bfgace dbcafg
dbeg db bdge dbfecag
egc gec gfdec adbfce
cgeafb dgceb dba edbgaf
edcfga dafeg cefbagd gfdae
cadfbe dacbe bca fabd
bdfagc fbceagd fae gbcfaed
abdfeg bc begcdf ceba
febdgca aefd fdcga cfdag
ebcgd aecbfd debcfa bfeagc
dgfe efdg defg bedgc
gacebf ebdg bcd dgeb
abegdc gfecb begafdc bd
ecfdb cfd acef edagbf
fdgcae edfg dafec dfcae
fgbac fdcbgea aeb fgacb
ga abgc efacbgd agfbd
dabfecg dagbe ebgad egcd
faebdg fdcaeb fg gfce
fgedc gdcef bcdegf cdfgae
gafce fcgaed fac afc
ac bgfced fecbd cbfadge
bdfgce bcaef da bgedfc
gc gc bfadge adcg
ebf debacf be cafbg
aegbfc faegdbc egfd dgfe
geafb faebcg ebadf df
dcbag eagbdfc edbgfa cafdb
defcgb gbfdec cedg ed
bfa gebcdaf bfedag ebfgdc
gdcaef gfc fdgaec gc
geadcf fdabec acf agdcb
fgabc bgad adgb fbdgc
cebgdf gdaf bfcdeg afbdcg
bfdgc fgcbeda ecafgd fdcbge
ed dcgaef acbeg ged
dcafg fceb dbacfe fbdgace
fcdgeb fgc cdbfge gdcbafe
cef edfab cfbdae cfgab
fcbgae gbafd cgd bcfgae
cadgf cfaegb gbacf dcabeg
bdfegac eafc badfe ec
gedbf bgdcaf fdac dcfa
ebadfc efcbda efgcda bfgadce
fdb fbgec dbgfac fcgdbea
ecbfad caf dbeca caf
daceg dgfeba bc cgdea
gfc efacdb cg bacefd
cg geadb gce gc
edcaf efdac eagcf cagfbd
eafgc beacf gadfeb ebf
acdbef deab ebcdf dbae
acbfe bcgeda acbef abdcge
bdcegf badcegf dbc gfecbd
agfdbec gc ebfcad edcg
facd dfgae fd degba
afcg af af fdega
afbged cf cfabg gfc
cf cgfa bcf fc
cbfge dcb gcdabe gcdbf
caed fadge ecbdfg ceda
gcdbfa fadb agb ba
ag dbfac agc bcgeaf
fagecdb gedfab gbecda facg
acbeg adebfc bgf bgf
bgfdce dbaef gebcd bfcgae
fgcbea cfb bfc decab
fdbagec fc aedcgb cf
dagcfb baef cgedfb cabfgd
ecgad acbdeg dcfbe gdecba
gbdaec gafdce ce eac
efdcag fed dcgbfea df
dcafbe eadf fcebga baced
dceafg bdaefc ge faced
egcbaf egafdb agfbd egafcb
fecadg bgfae aegdcf egfcba
dfc cf dfcga bfgc
faegcb ca abgcf ebfcg
gec ge cgfba dfcae
ceagd afe fae gefad
cedab cefadb edfb fcbgaed
fb bf gceadb dafgc
decabg edcgb cgbfde dcgeb
fbecd acfedb gbcd cfagde
