gbcead cfgaeb beadf adb egafd fbeac dbfegca fdaceb dbfc bd
dgfcb gcdeafb eg egb fcdebg cegf becad dfbcag fbgdea gecdb
bgdacf ga egab bfeacdg bfaec agc efbcda agfec cfedg abfceg
cbgfad ed ecdgfb dge deabg fgdab geacb gabfced dfae dbgfea
fdaegb fae acedgfb dgbae fedcb daefb gebadc af bcfgae gafd
cfg cegbdf fecgb fg cdageb fbgcad egfd gdcbe eafcb abdgcfe
bgcfed aebgdcf gcbd edbcf ecdfag ebc efcdg bc befacg daefb
dbfge cfebd dega facbge adbgcfe bfage fgdeba gfdbac gd dgb
ae egca gdeabf gcfba fcdbag dafcbge dbcfe efa ebgcaf fbcae
dagcfb fdegacb cbgad bedcg cbgeda cfbeg aefgdc abde ed gde
fcdaeb gecaf eabcdfg efcbgd bge cadeb gbad becga cbeadg bg
ed cdbfaeg ecadgf bcfde agcdfb cedbfg gedb cgdbf def acfeb
gfdac afg ecgfba af ecadbg bfda adcgb dbcfaeg bdcagf cgfed
faedg ba cbdgf ceadgf gdbfea adbgf aecdgb efab agcdebf dba
eadfb ecbdg ebgadc bfc gcef egbcfd fbcdega bcefd gcbdaf cf
begdac eabdc cabef de facdbg acegdfb adcgb edcg dbegfa ead
dfgcb ef fce gcdef bcgafe gdaefcb dcgebf dfbe agcde gdafbc
gefcd fcdeba bf fbgedac egadbc aedcb fcb bdecf fbeagc afbd
cagdeb bed gcbfe fdae cgdfbea dgfeb eafdgb ed agfbd cgfbda
bdgea eabcdf efbgc edfgcba fed df ecgdbf bedgf egacbf fdgc
ced edgaf gacebd ce fdabc fgcdab cdaef cefgbda fcaebd ebfc
fcgdb cfbdge agdefb af abgcfed decga cdbfag fcab dfgac dfa
cfag fgbedac gedfc cfead cgdafe gef fdebac ebdgc fg agefbd
baecdg gec gefdab gcfead agcb gc acdgfbe edgbc dbcef gbade
cgefb bgdface ecgbfd gcebaf bface egbfad ae fea gcea bcdaf
dfgabc cdfgeb ce gefcba fcbde degc cfbdg bce feadb defgbac
dageb dcbfga dg eadcgfb edcg bgcead eafbd gad fceabg egcba
edfacbg bgcadf adebgf gbdca fb becagd bfgdc cefgd dbf bafc
bedgafc cbd cefdgb ebca dbeafg dfbea bdafc cb dgfac dbaecf
gb ebgfdac fbag fbaecd fbdage ecfdg dceabg bdg gdbef afdbe
ebdfcag dbfgae abcf bdegfc bgfdc abd edgca bdacg ba dabcfg
cgfd fcbae geafd egc cg bgdcea fedbag acedfg fgeca dabegcf
dacefgb gdcab cbeg ge dabecg afcde daecg dfeabg fbdcga gae
